LINK_MODEL_BASED::ORIGINAL::LEFT_KNEE_ANGLE
File	Frame	X 	Y 	Z 
run.c3d	1	-30.499630	4.526643	7.722781
 - 	2	-35.006451	5.248572	7.615343
 - 	3	-41.950645	6.242811	7.265399
 - 	4	-45.778225	6.664662	7.079618
 - 	5	-50.438221	7.112730	6.904109
 - 	6	-55.713329	7.513804	6.768349
 - 	7	-61.351376	7.781864	6.679735
 - 	8	-67.138634	7.849151	6.617581
 - 	9	-72.918907	7.688505	6.539371
 - 	10	-78.585030	7.323204	6.391761
 - 	11	-84.063118	6.827824	6.125831
 - 	12	-89.297447	6.312725	5.710942
 - 	13	-94.237122	5.882317	5.133498
 - 	14	-98.828056	5.591284	4.384068
 - 	15	-103.014755	5.436747	3.452319
 - 	16	-106.745941	5.384437	2.346553
 - 	17	-109.975113	5.391466	1.119247
 - 	18	-112.657166	5.410796	-0.133824
 - 	19	-114.750496	5.398103	-1.287594
 - 	20	-116.222572	5.320447	-2.218884
 - 	21	-117.050186	5.151435	-2.878683
 - 	22	-117.216896	4.863819	-3.327174
 - 	23	-116.714767	4.431095	-3.666161
 - 	24	-115.548172	3.834203	-3.962857
 - 	25	-113.738335	3.073905	-4.226263
 - 	26	-111.327560	2.188929	-4.405779
 - 	27	-108.374954	1.256584	-4.424468
 - 	28	-104.942444	0.359878	-4.226622
 - 	29	-101.081779	-0.447010	-3.782491
 - 	30	-96.828476	-1.142491	-3.076151
 - 	31	-92.202614	-1.723561	-2.124336
 - 	32	-87.215492	-2.196038	-0.996474
 - 	33	-81.877396	-2.570815	0.206570
 - 	34	-76.198318	-2.861589	1.396706
 - 	35	-70.183449	-3.079842	2.528482
 - 	36	-63.835571	-3.228093	3.599560
 - 	37	-57.172073	-3.297177	4.628595
 - 	38	-50.249302	-3.267893	5.631339
 - 	39	-43.179649	-3.116423	6.606121
 - 	40	-36.138054	-2.826346	7.518051
 - 	41	-29.358089	-2.406017	8.286386
 - 	42	-23.109221	-1.900500	8.805295
 - 	43	-17.658663	-1.387028	8.996569
 - 	44	-13.233820	-0.952078	8.851838
 - 	45	-9.991052	-0.659767	8.433515
 - 	46	-7.992395	-0.527799	7.843138
 - 	47	-7.198348	-0.523106	7.184832
 - 	48	-7.480564	-0.581872	6.539830
 - 	49	-8.647468	-0.641361	5.956505
 - 	50	-10.477292	-0.662032	5.455203
 - 	51	-12.761036	-0.634047	5.038034
 - 	52	-15.348330	-0.570154	4.695381
 - 	53	-18.172577	-0.486524	4.412450
 - 	54	-21.231991	-0.382606	4.182275
 - 	55	-24.528708	-0.236730	4.019428
 - 	56	-28.004522	-0.023637	3.959095
 - 	57	-31.517885	0.260064	4.035396
 - 	58	-34.872272	0.586766	4.251925
 - 	59	-37.870396	0.917302	4.565516
 - 	60	-40.364017	1.234964	4.891761
 - 	61	-42.277180	1.560027	5.132270
 - 	62	-43.592728	1.925225	5.220801
 - 	63	-44.321331	2.338740	5.162036
 - 	64	-44.482906	2.775006	5.032163
 - 	65	-44.102039	3.194536	4.946960
 - 	66	-43.204609	3.565411	5.020978
 - 	67	-41.816357	3.871307	5.328193
 - 	68	-39.966305	4.109991	5.873333
 - 	69	-37.689598	4.285985	6.587255
 - 	70	-35.033543	4.398426	7.340493
 - 	71	-32.073116	4.429161	7.972750
 - 	72	-28.921211	4.339255	8.358068
 - 	73	-25.716024	4.085013	8.480230
 - 	74	-22.592571	3.650700	8.448854
 - 	75	-19.658613	3.071497	8.436902
 - 	76	-16.992369	2.427683	8.585439
 - 	77	-14.662965	1.820108	8.931190
 - 	78	-12.756954	1.341191	9.390198
 - 	79	-11.389796	1.046865	9.804008
 - 	80	-10.687794	0.944714	10.024500
 - 	81	-10.749792	1.008511	9.983838
 - 	82	-11.614191	1.205194	9.709016
 - 	83	-13.245723	1.514867	9.289825
 - 	84	-15.546272	1.929858	8.825680
 - 	85	-18.387959	2.439369	8.381577
 - 	86	-21.651766	3.023918	7.984531
 - 	87	-25.252827	3.662226	7.645668
 - 	88	-29.146877	4.335650	7.371891
 - 	89	-33.322922	5.026851	7.162733
 - 	90	-37.786964	5.715235	7.009515
 - 	91	-42.539650	6.367228	6.907949
 - 	92	-47.560173	6.930307	6.866558
 - 	93	-52.806141	7.346436	6.890734
 - 	94	-58.221031	7.575967	6.961317
 - 	95	-63.740364	7.609638	7.031300
 - 	96	-69.297493	7.465417	7.038438
 - 	97	-74.828934	7.181908	6.922980
 - 	98	-80.275780	6.811534	6.642272
 - 	99	-85.578835	6.402852	6.176334
 - 	100	-90.673767	5.990326	5.527358
 - 	101	-95.495811	5.617743	4.727856
 - 	102	-99.985794	5.348922	3.846452
 - 	103	-104.087563	5.226388	2.959269
 - 	104	-107.744049	5.229865	2.100392
 - 	105	-110.897408	5.285518	1.245281
 - 	106	-113.492706	5.312177	0.357095
 - 	107	-115.483803	5.258326	-0.553987
 - 	108	-116.836067	5.104220	-1.436844
 - 	109	-117.525841	4.845185	-2.242891
 - 	110	-117.539810	4.476833	-2.931966
 - 	111	-116.874168	3.987956	-3.462923
 - 	112	-115.534042	3.365571	-3.806632
 - 	113	-113.537674	2.613182	-3.955165
 - 	114	-110.924416	1.770119	-3.911576
 - 	115	-107.756912	0.909566	-3.681431
 - 	116	-104.110176	0.107775	-3.271038
 - 	117	-100.053612	-0.587891	-2.672441
 - 	118	-95.635979	-1.165305	-1.862637
 - 	119	-90.881325	-1.637299	-0.841618
 - 	120	-85.797379	-2.029546	0.335641
 - 	121	-80.387054	-2.371160	1.564374
 - 	122	-74.654182	-2.686700	2.742444
 - 	123	-68.604477	-2.983485	3.832410
 - 	124	-62.246227	-3.242499	4.854186
 - 	125	-55.598335	-3.421607	5.831110
 - 	126	-48.709560	-3.467094	6.759260
 - 	127	-41.679127	-3.334591	7.600852
 - 	128	-34.665974	-3.013419	8.291174
 - 	129	-27.882236	-2.537387	8.761725
 - 	130	-21.573507	-1.979242	8.968645
 - 	131	-15.990851	-1.434150	8.910921
 - 	132	-11.358538	-0.992520	8.629283
 - 	133	-7.842101	-0.710885	8.187763
 - 	134	-5.525082	-0.597410	7.651384
 - 	135	-4.398532	-0.615108	7.076716
 - 	136	-4.363422	-0.696794	6.516731
 - 	137	-5.252382	-0.770626	6.021424
 - 	138	-6.869695	-0.788931	5.623670
 - 	139	-9.032621	-0.745316	5.321754
 - 	140	-11.602801	-0.669242	5.075487
 - 	141	-14.504597	-0.598798	4.823930
 - 	142	-17.718334	-0.548634	4.518607
 - 	143	-21.241943	-0.496440	4.154903
 - 	144	-25.036127	-0.399653	3.785405
 - 	145	-28.982061	-0.231494	3.502744
 - 	146	-32.882954	-0.005205	3.390846
 - 	147	-36.512039	0.237744	3.474919
 - 	148	-39.673012	0.465760	3.707056
 - 	149	-42.241394	0.689310	3.988216
 - 	150	-44.175026	0.959578	4.205406
 - 	151	-45.495045	1.333037	4.270944
 - 	152	-46.250908	1.831258	4.156900
 - 	153	-46.489033	2.424494	3.912372
 - 	154	-46.239471	3.044680	3.652620
 - 	155	-45.520172	3.616241	3.524888
 - 	156	-44.346378	4.086699	3.662359
 - 	157	-42.735355	4.442429	4.132986
 - 	158	-40.707172	4.703348	4.899020
 - 	159	-38.289768	4.898523	5.814129
 - 	160	-35.531017	5.034431	6.671074
 - 	161	-32.510262	5.076560	7.285185
 - 	162	-29.338644	4.961131	7.578572
 - 	163	-26.143419	4.632246	7.623044
 - 	164	-23.043644	4.080519	7.610288
 - 	165	-20.133368	3.361846	7.748232
 - 	166	-17.483946	2.584749	8.136603
 - 	167	-15.166947	1.868523	8.711576
 - 	168	-13.278564	1.302658	9.296617
 - 	169	-11.939174	0.936871	9.710020
 - 	170	-11.269030	0.791668	9.855231
 - 	171	-11.359136	0.863562	9.740631
 - 	172	-12.248392	1.123228	9.431204
 - 	173	-13.913743	1.524457	8.996934
 - 	174	-16.279564	2.024494	8.499543
 - 	175	-19.242147	2.595755	7.998364
 - 	176	-22.698166	3.221273	7.550709
 - 	177	-26.567099	3.884965	7.200004
 - 	178	-30.799150	4.566854	6.963969
 - 	179	-35.366310	5.243290	6.836722
 - 	180	-40.244583	5.890777	6.795543
 - 	181	-45.399597	6.489955	6.805690
 - 	182	-50.779842	7.021912	6.831284
 - 	183	-56.318665	7.459473	6.847016
 - 	184	-61.945515	7.763704	6.836820
 - 	185	-67.595825	7.889704	6.779577
 - 	186	-73.211624	7.801775	6.633627
 - 	187	-78.736374	7.490802	6.336366
 - 	188	-84.110237	6.987999	5.827464
 - 	189	-89.269928	6.377090	5.083163
 - 	190	-94.149742	5.781635	4.134129
 - 	191	-98.682152	5.313926	3.057296
 - 	192	-102.805237	5.033047	1.964260
 - 	193	-106.470810	4.939640	0.980255
 - 	194	-109.639099	4.984552	0.182976
 - 	195	-112.264954	5.088781	-0.453822
 - 	196	-114.294586	5.176162	-1.033533
 - 	197	-115.676537	5.194772	-1.639132
 - 	198	-116.375145	5.113189	-2.257971
 - 	199	-116.376633	4.905798	-2.805939
